"""Datetime""","""Tweet ID""","""Text""","""Username""",Score
2020-02-13 15:48:10+00:00,1.23E+18,#Conte isn't very happy about #Napoli's approach in the game against #Inter bishoplawcorp @ one-north ,FootBoleh,0.3612
2020-02-12 14:59:45+00:00,1.23E+18,#Throwback to the NT debut of #Rooney: @waynerooney bishoplawcorp @ one-north,FootBoleh,0.3612
2020-02-11 15:51:12+00:00,1.23E+18,Can you guess who the player is? | bishoplawcorp @ one-north,FootBoleh,0.364
2020-02-08 15:36:14+00:00,1.23E+18,esmuellert never change bishoplawcorp @ one-north,FootBoleh,0.368
2020-02-08 15:10:13+00:00,1.23E+18,"Check out new work on my @Behance profile: ""One-North Festival"" ",gary1984,0.3695
2020-02-07 15:33:03+00:00,1.23E+18,Who's your favourite? @ one-north ,FootBoleh,0.3695
2020-02-07 07:37:46+00:00,1.23E+18,@oolalelilo Better not be one-north,udderlymoosical,0.3729
2020-02-06 15:45:07+00:00,1.23E+18,Remembering the ones we lost in one of the worst tragedies that football has witnessed. @ one-north ,FootBoleh,0.3736
2020-02-06 04:09:01+00:00,1.23E+18,For S$150 to S$200 a night - depending on whether it is a peak or off-season - up to four guests can stay in one of two cabins in one-north. - Read here at: https://t.co/zBw0fKHK52 #ShippingContainer #ContainerUses #ContainerApplications #ContainerNews #ContainerHotels ,TopUniverseInc,0.3751
2020-02-05 15:59:49+00:00,1.23E+18,This is how @cristiano celebrated his birthday @ one-north ,FootBoleh,0.3774
2020-02-05 00:52:34+00:00,1.22E+18,ONE-NORTH,vinson,0.3804
2020-02-04 15:39:13+00:00,1.22E+18,.@ one-north ,FootBoleh,0.3818
2020-02-04 01:45:22+00:00,1.22E+18,"It`s surreal to see that ~250 Singapore Tech Ecosystem Players (VCs, Startups, Corporates &amp; Policy Makers) have registered for Launch of IOT TRIBE SG. Can`t wait to make a big splash tomorrow! See you at The Meeting Point, One-North at 9 AM ",pg211183,0.3818
2020-02-01 14:54:39+00:00,1.22E+18,#ManUtd have got the best of the Portuguese league in #BrunoFernandes @ one-north ,FootBoleh,0.3818
2020-01-31 15:26:10+00:00,1.22E+18,Guess who? | bishoplawcorp @ one-north,FootBoleh,0.3818
2020-01-29 15:45:09+00:00,1.22E+18,#Minamino is just what #Klopp and #LiverpoolFC wanted @ one-north ,FootBoleh,0.3818
2020-01-28 15:37:26+00:00,1.22E+18,Look who's back! #BayernMunich @ one-north ,FootBoleh,0.3818
2020-01-27 15:23:38+00:00,1.22E+18,#ManchesterCity are the best attacking team of Europe @ one-north ,FootBoleh,0.3818
2020-01-27 04:09:01+00:00,1.22E+18,Singapore's First Shipping Container Hotel Springs up in One-North. Mr Seah has launched Singapore's first hotel made using shipping containers. - Read full story here at: https://t.co/zBw0fKHK52 #ShippingContainer #ContainerUses #ContainerApplications #ContainerHotel #Singapore ,TopUniverseInc,0.3818
2020-01-26 15:40:23+00:00,1.22E+18,#TAA has been playing in a league of his own @ one-north ,FootBoleh,0.3818
2020-01-25 16:16:45+00:00,1.22E+18,"CNY Yarn Toppers Go Missing At One-North, Volunteers Who Made Them Seek Their Return",LainesduMarais,0.3818
2020-01-25 15:16:42+00:00,1.22E+18,#Felix is not a good big game player as per @casalfoto | bishoplawcorp @ one-north ,FootBoleh,0.3818
2020-01-25 14:39:17+00:00,1.22E+18,"CNY Yarn Toppers Go Missing At One-North, Volunteers Who Made Them Seek Their Return",ihengbok,0.3818
2020-01-25 03:32:34+00:00,1.22E+18,"New Mixed-Use #Condo at One-North Gateway by TID. Located at the plum site of One-North Gateway, a new exciting mixed-development will soon launch in 2020. #singapore #property #sgproperty #realestate",propertyasiadir,0.3818
2020-01-23 09:17:02+00:00,1.22E+18,Singapore's first shipping container hotel springs up in one-north via @OracleHosp @ChannelNewsAsia ,juanfrandma,0.3818
2020-01-22 12:32:02+00:00,1.22E+18,Singapore's first #shippingcontainer #hotel springs up in one-north,CGIContainer,0.3818
2020-01-22 09:38:07+00:00,1.22E+18,"RSIS Distinguished Public Lecture by Dr Adam Garfinkle on ""What Ails America on 31 Jan 2020 at NTU@one-north. ",RSIS_NTU,0.4003
2020-01-22 09:07:13+00:00,1.22E+18,Just posted a photo @ Nexus@one-north ,Thamizhan74,0.4003
2020-01-22 09:00:27+00:00,1.22E+18,Just posted a photo @ one-north MRT Station ,Thamizhan74,0.4003
2020-01-22 06:00:43+00:00,1.22E+18,#Resurrection @ one-north,Thamizhan74,0.4019
2020-01-22 05:39:36+00:00,1.22E+18,Just posted a photo @ one-north ,Thamizhan74,0.4019
2020-01-22 00:52:15+00:00,1.22E+18,Join us to celebrate the Year of Rat with lohei and a sumptuous dinner! Get to know and network with the fellow startups in LaunchPad too! 7 Feb 2020 (Fri) 5.30pm to 8pm The Meeting Point LaunchPad @ one-north ,QuestVentures01,0.4019
